Item,Year,Production
Alcoholic Beverages,2000,196329
Alcoholic Beverages,2001,203000
Alcoholic Beverages,2002,204629
Alcoholic Beverages,2003,206401
Alcoholic Beverages,2004,217392
Alcoholic Beverages,2005,222722
Alcoholic Beverages,2006,233310
Alcoholic Beverages,2007,244420
Alcoholic Beverages,2008,244373
Alcoholic Beverages,2009,243452
Alcoholic Beverages,2010,247414
Alcoholic Beverages,2011,256269
Alcoholic Beverages,2012,258895
Alcoholic Beverages,2013,260701
Beer,2000,135139
Beer,2001,138373
Beer,2002,138973
Beer,2003,141034
Beer,2004,149596
Beer,2005,153567
Beer,2006,162876
Beer,2007,171476
Beer,2008,174910
Beer,2009,173277
Beer,2010,176840
Beer,2011,183679
Beer,2012,185737
Beer,2013,187051
Cereals - Excluding Beer,2000,894304
Cereals - Excluding Beer,2001,900074
Cereals - Excluding Beer,2002,903209
Cereals - Excluding Beer,2003,910053
Cereals - Excluding Beer,2004,919231
Cereals - Excluding Beer,2005,928890
Cereals - Excluding Beer,2006,942238
Cereals - Excluding Beer,2007,952219
Cereals - Excluding Beer,2008,967413
Cereals - Excluding Beer,2009,973744
Cereals - Excluding Beer,2010,992593
Cereals - Excluding Beer,2011,1003292
Cereals - Excluding Beer,2012,1012534
Cereals - Excluding Beer,2013,1029017
Eggs,2002,101248
Eggs,2003,103062
Eggs,2004,105158
Eggs,2005,107144
Eggs,2006,109178
Eggs,2007,112486
Eggs,2008,116388
Eggs,2009,118518
Eggs,2010,120704
Eggs,2011,122580
Eggs,2012,125538
Eggs,2013,128662
"Fish, Seafood",2003,102294
"Fish, Seafood",2004,105972
"Fish, Seafood",2005,108515
"Fish, Seafood",2006,112819
"Fish, Seafood",2007,117268
"Fish, Seafood",2008,120364
"Fish, Seafood",2009,123465
"Fish, Seafood",2010,126993
"Fish, Seafood",2011,129557
"Fish, Seafood",2012,133003
"Fish, Seafood",2013,132832
Fruits - Excluding Wine,2000,366054
Fruits - Excluding Wine,2001,366415
Fruits - Excluding Wine,2002,383708
Fruits - Excluding Wine,2003,393100
Fruits - Excluding Wine,2004,412307
Fruits - Excluding Wine,2005,426058
Fruits - Excluding Wine,2006,445448
Fruits - Excluding Wine,2007,458939
Fruits - Excluding Wine,2008,475720
Fruits - Excluding Wine,2009,485944
Fruits - Excluding Wine,2010,495110
Fruits - Excluding Wine,2011,514548
Fruits - Excluding Wine,2012,531430
Fruits - Excluding Wine,2013,544878
"Fruits, Other",2000,114497
"Fruits, Other",2001,118497
"Fruits, Other",2002,124565
"Fruits, Other",2003,130434
"Fruits, Other",2004,135270
"Fruits, Other",2005,141819
"Fruits, Other",2006,146996
"Fruits, Other",2007,151558
"Fruits, Other",2008,156074
"Fruits, Other",2009,161123
"Fruits, Other",2010,162027
"Fruits, Other",2011,169116
"Fruits, Other",2012,177691
"Fruits, Other",2013,185475
Maize and products,2003,102593
Maize and products,2004,103586
Maize and products,2005,105483
Maize and products,2006,107342
Maize and products,2007,109434
Maize and products,2008,113257
Maize and products,2009,113687
Maize and products,2010,117640
Maize and products,2011,120352
Maize and products,2012,122580
Maize and products,2013,125184
Meat,2000,222912
Meat,2001,224688
Meat,2002,231813
Meat,2003,237670
Meat,2004,241242
Meat,2005,246716
Meat,2006,255203
Meat,2007,264982
Meat,2008,272457
Meat,2009,276636
Meat,2010,284011
Meat,2011,288411
Meat,2012,296369
Meat,2013,302411
Milk - Excluding Butter,2000,927008
Milk - Excluding Butter,2001,942984
Milk - Excluding Butter,2002,970162
Milk - Excluding Butter,2003,990482
Milk - Excluding Butter,2004,1015364
Milk - Excluding Butter,2005,1048112
Milk - Excluding Butter,2006,1081776
Milk - Excluding Butter,2007,1116976
Milk - Excluding Butter,2008,1134316
Milk - Excluding Butter,2009,1159200
Milk - Excluding Butter,2010,1187806
Milk - Excluding Butter,2011,1220202
Milk - Excluding Butter,2012,1257644
Milk - Excluding Butter,2013,1259476
Potatoes and products,2000,195125
Potatoes and products,2001,193757
Potatoes and products,2002,200027
Potatoes and products,2003,202675
Potatoes and products,2004,214352
Potatoes and products,2005,214110
Potatoes and products,2006,200798
Potatoes and products,2007,208359
Potatoes and products,2008,219873
Potatoes and products,2009,220204
Potatoes and products,2010,227913
Potatoes and products,2011,234914
Potatoes and products,2012,240554
Potatoes and products,2013,239077
Rice (Milled Equivalent),2000,323066
Rice (Milled Equivalent),2001,324101
Rice (Milled Equivalent),2002,327429
Rice (Milled Equivalent),2003,329337
Rice (Milled Equivalent),2004,335287
Rice (Milled Equivalent),2005,339859
Rice (Milled Equivalent),2006,342608
Rice (Milled Equivalent),2007,347701
Rice (Milled Equivalent),2008,357130
Rice (Milled Equivalent),2009,360959
Rice (Milled Equivalent),2010,365615
Rice (Milled Equivalent),2011,371109
Rice (Milled Equivalent),2012,373206
Rice (Milled Equivalent),2013,377286
Starchy Roots,2000,372928
Starchy Roots,2001,375416
Starchy Roots,2002,379035
Starchy Roots,2003,380962
Starchy Roots,2004,396039
Starchy Roots,2005,399755
Starchy Roots,2006,385600
Starchy Roots,2007,388951
Starchy Roots,2008,406311
Starchy Roots,2009,407243
Starchy Roots,2010,416209
Starchy Roots,2011,430210
Starchy Roots,2012,442034
Starchy Roots,2013,443357
Sugar & Sweeteners,2000,144046
Sugar & Sweeteners,2001,147972
Sugar & Sweeteners,2002,149207
Sugar & Sweeteners,2003,153402
Sugar & Sweeteners,2004,152483
Sugar & Sweeteners,2005,153505
Sugar & Sweeteners,2006,155014
Sugar & Sweeteners,2007,156455
Sugar & Sweeteners,2008,159766
Sugar & Sweeteners,2009,160187
Sugar & Sweeteners,2010,161538
Sugar & Sweeteners,2011,164756
Sugar & Sweeteners,2012,170291
Sugar & Sweeteners,2013,172919
Sugar (Raw Equivalent),2000,116831
Sugar (Raw Equivalent),2001,120166
Sugar (Raw Equivalent),2002,122167
Sugar (Raw Equivalent),2003,126336
Sugar (Raw Equivalent),2004,126772
Sugar (Raw Equivalent),2005,126570
Sugar (Raw Equivalent),2006,127989
Sugar (Raw Equivalent),2007,129500
Sugar (Raw Equivalent),2008,133072
Sugar (Raw Equivalent),2009,132501
Sugar (Raw Equivalent),2010,132867
Sugar (Raw Equivalent),2011,136591
Sugar (Raw Equivalent),2012,140956
Sugar (Raw Equivalent),2013,143648
Tomatoes and products,2002,100373
Tomatoes and products,2003,103663
Tomatoes and products,2004,112044
Tomatoes and products,2005,112410
Tomatoes and products,2006,115039
Tomatoes and products,2007,120261
Tomatoes and products,2008,122584
Tomatoes and products,2009,136097
Tomatoes and products,2010,133057
Tomatoes and products,2011,137549
Tomatoes and products,2012,141798
Tomatoes and products,2013,144080
Vegetables,2000,681558
Vegetables,2001,702804
Vegetables,2002,725133
Vegetables,2003,746718
Vegetables,2004,754509
Vegetables,2005,773213
Vegetables,2006,804133
Vegetables,2007,828334
Vegetables,2008,853881
Vegetables,2009,875817
Vegetables,2010,903198
Vegetables,2011,927965
Vegetables,2012,964222
Vegetables,2013,982974
"Vegetables, Other",2000,541584
"Vegetables, Other",2001,563270
"Vegetables, Other",2002,578222
"Vegetables, Other",2003,593252
"Vegetables, Other",2004,587663
"Vegetables, Other",2005,603102
"Vegetables, Other",2006,628951
"Vegetables, Other",2007,642777
"Vegetables, Other",2008,664743
"Vegetables, Other",2009,673796
"Vegetables, Other",2010,699809
"Vegetables, Other",2011,715021
"Vegetables, Other",2012,747749
"Vegetables, Other",2013,762130
Wheat and products,2000,415212
Wheat and products,2001,416419
Wheat and products,2002,416878
Wheat and products,2003,414881
Wheat and products,2004,418032
Wheat and products,2005,420846
Wheat and products,2006,428015
Wheat and products,2007,430266
Wheat and products,2008,432518
Wheat and products,2009,434645
Wheat and products,2010,443444
Wheat and products,2011,445376
Wheat and products,2012,448506
Wheat and products,2013,457824
